space_id,assigned_activity
O1,
O2,Sitting
O3,Creative Corridor
O4,Sunbath
O5,Sunbath
O6,Healing Garden
O7,
O8,Sunbath
O9,Community Pool/BBQ
O10,Urban Agriculture Garden
O11,
O12,Healing Garden
O13,Outdoor Cinema/Event Space
O14,Sunbath
O15,Sunbath
O16,Sunbath
O17,Urban Agriculture Garden
O18,Community Pool/BBQ
O19,Sunbath
O20,Outdoor Meeting Room
O21,Creative Corridor
O22,Creative Corridor
O23,Creative Corridor
O24,Outdoor Meeting Room
O25,Creative Corridor
O26,Healing Garden
O27,Outdoor Cinema/Event Space
O28,Sunbath
O29,Sunbath
O30,Sunbath
O31,Outdoor Cinema/Event Space
O32,Sunbath
O33,Creative Corridor
O34,Outdoor Yoga or Meditation
O35,Sunbath
O36,Sunbath
O37,Sunbath
O38,
O39,Biodiversity balcony
O40,Sunbath
O41,Sunbath
O42,Sunbath
O43,Balcony Yoga
O44,Sunbath
O45,Outdoor Yoga
O46,Outdoor Yoga
